seller_id,application_date,country,days_to_complete_company_details,days_to_complete_logistics,days_to_upload_license,days_to_sign_agreement,total_onboarding_days,followup_count,days_since_last_followup,reached_activation,churned,days_since_application,steps_completed,avg_days_per_step,followup_effectiveness,is_slow_onboarding,is_neglected,country_encoded
S0066,2024-02-28,Saudi Arabia,40,6,49,22,62,4,69,1,0,307,4,15.5,0.06349206349206349,0,1,0
S0067,2024-01-29,UAE,54,20,1,25,100,14,25,0,0,337,4,25.0,0.13861386138613863,1,0,1
S0068,2024-08-20,Saudi Arabia,20,27,73,16,60,4,1,1,0,133,4,15.0,0.06557377049180328,0,0,0
S0069,2022-06-16,Saudi Arabia,30,37,53,18,98,5,58,0,0,929,4,24.5,0.050505050505050504,1,1,0
S0070,2023-10-02,UAE,38,7,40,23,75,8,4,0,0,456,4,18.75,0.10526315789473684,0,0,1
S0071,2022-07-23,Saudi Arabia,3,5,45,21,74,8,36,1,0,892,4,18.5,0.10666666666666667,0,1,0
S0072,2023-08-13,Saudi Arabia,28,11,68,21,100,13,30,1,1,506,4,25.0,0.12871287128712872,1,0,0
S0073,2023-11-18,UAE,26,15,9,11,76,13,75,0,0,409,4,19.0,0.16883116883116883,0,1,1
S0074,2024-04-17,UAE,30,3,22,7,28,3,47,0,0,258,4,7.0,0.10344827586206896,0,1,1
S0075,2023-01-24,UAE,13,5,18,9,100,13,5,0,0,707,4,25.0,0.12871287128712872,1,0,1
S0076,2023-01-21,UAE,15,37,50,28,134,6,31,0,0,710,4,33.5,0.044444444444444446,1,1,1
S0077,2024-01-19,Saudi Arabia,2,37,43,25,70,8,14,1,0,347,4,17.5,0.11267605633802817,0,0,0
S0078,2022-05-16,Saudi Arabia,37,9,39,13,99,8,60,1,0,960,4,24.75,0.08,1,1,0
S0079,2023-11-17,Saudi Arabia,49,15,73,27,49,7,15,0,0,410,4,12.25,0.14,0,0,0
S0080,2023-02-08,Saudi Arabia,38,3,6,26,121,11,19,1,0,692,4,30.25,0.09016393442622951,1,0,0
S0081,2024-02-15,UAE,2,29,48,25,92,11,76,1,0,320,4,23.0,0.11827956989247312,1,1,1
S0082,2022-06-12,Saudi Arabia,36,6,7,4,92,13,43,1,0,933,4,23.0,0.13978494623655913,1,1,0
S0083,2023-01-07,Saudi Arabia,54,17,69,19,62,9,41,0,0,724,4,15.5,0.14285714285714285,0,1,0
S0084,2022-06-13,Saudi Arabia,55,23,22,27,121,2,97,1,0,932,4,30.25,0.01639344262295082,1,1,0
S0085,2023-02-19,UAE,11,21,1,9,114,2,33,1,0,681,4,28.5,0.017391304347826087,1,1,1
S0086,2023-10-07,Saudi Arabia,47,21,49,28,142,3,36,1,1,451,4,35.5,0.02097902097902098,1,1,0
S0087,2024-12-30,Saudi Arabia,44,21,37,2,28,12,28,0,0,1,4,7.0,0.41379310344827586,0,0,0
S0088,2024-03-21,Saudi Arabia,40,11,64,6,121,3,2,1,0,285,4,30.25,0.02459016393442623,1,0,0
S0089,2024-04-29,UAE,43,38,62,5,67,3,8,1,0,246,4,16.75,0.04411764705882353,0,0,1
S0090,2023-02-28,Saudi Arabia,29,23,81,9,163,2,15,0,1,672,4,40.75,0.012195121951219513,1,0,0
S0091,2023-04-24,UAE,46,25,22,21,143,8,80,1,1,617,4,35.75,0.05555555555555555,1,1,1
S0092,2023-07-02,UAE,8,35,33,22,104,14,24,0,0,548,4,26.0,0.13333333333333333,1,0,1
S0093,2023-09-11,Saudi Arabia,19,41,87,19,135,1,22,0,1,477,4,33.75,0.007352941176470588,1,0,0
S0094,2022-11-11,UAE,20,42,44,24,160,4,100,1,0,781,4,40.0,0.024844720496894408,1,1,1
S0095,2024-06-02,UAE,52,29,70,8,157,5,39,1,1,212,4,39.25,0.03164556962025317,1,1,1
S0096,2023-06-17,UAE,30,12,60,9,114,11,72,1,0,563,4,28.5,0.09565217391304348,1,1,1
S0097,2024-05-10,Saudi Arabia,17,38,74,22,116,6,83,1,1,235,4,29.0,0.05128205128205128,1,1,0
S0098,2022-07-04,Saudi Arabia,20,34,24,27,123,3,58,1,0,911,4,30.75,0.024193548387096774,1,1,0
S0099,2022-06-09,UAE,52,41,4,10,94,6,20,1,1,936,4,23.5,0.06315789473684211,1,0,1
S0100,2024-07-11,Saudi Arabia,16,10,37,16,75,11,73,1,0,173,4,18.75,0.14473684210526316,0,1,0
S0101,2024-03-23,UAE,46,17,4,10,85,5,21,1,1,283,4,21.25,0.05813953488372093,0,0,1
S0102,2023-03-24,UAE,43,17,77,10,100,9,28,0,1,648,4,25.0,0.0891089108910891,1,0,1
S0103,2024-10-29,UAE,17,30,60,5,157,8,65,0,1,63,4,39.25,0.05063291139240506,1,1,1
S0104,2022-12-19,Saudi Arabia,44,23,63,8,185,5,67,1,1,743,4,46.25,0.026881720430107527,1,1,0
S0105,2024-01-02,Saudi Arabia,20,40,83,11,171,6,29,0,1,364,4,42.75,0.03488372093023256,1,0,0
S0106,2024-01-11,UAE,47,12,48,17,67,12,63,0,0,355,4,16.75,0.17647058823529413,0,1,1
S0107,2023-10-13,UAE,48,39,33,5,105,13,68,1,0,445,4,26.25,0.12264150943396226,1,1,1
S0108,2024-11-21,Saudi Arabia,27,4,58,26,132,11,39,0,0,40,4,33.0,0.08270676691729323,1,1,0
S0109,2022-09-22,UAE,59,25,88,12,152,9,118,1,1,831,4,38.0,0.058823529411764705,1,1,1
S0110,2024-10-10,UAE,57,26,77,24,179,5,52,0,1,82,4,44.75,0.027777777777777776,1,1,1
S0111,2023-09-17,Saudi Arabia,24,21,35,24,60,11,64,0,0,471,4,15.0,0.18032786885245902,0,1,0
S0112,2024-07-08,Saudi Arabia,9,22,10,27,79,5,61,0,0,176,4,19.75,0.0625,0,1,0
S0113,2024-12-17,Saudi Arabia,35,4,65,15,44,9,53,1,0,14,4,11.0,0.2,0,1,0
S0114,2024-07-01,Saudi Arabia,51,18,42,25,47,2,59,0,0,183,4,11.75,0.041666666666666664,0,1,0
S0115,2022-07-02,Saudi Arabia,20,5,9,27,130,12,45,0,0,913,4,32.5,0.0916030534351145,1,1,0
S0116,2023-06-13,UAE,25,26,89,27,180,0,21,0,1,567,4,45.0,0.0,1,0,1
S0117,2022-10-08,Saudi Arabia,45,43,74,22,144,4,118,1,1,815,4,36.0,0.027586206896551724,1,1,0
S0118,2024-12-10,Saudi Arabia,17,12,57,4,47,12,89,1,0,21,4,11.75,0.25,0,1,0
S0119,2023-09-23,Saudi Arabia,47,17,69,8,84,8,52,1,1,465,4,21.0,0.09411764705882353,0,1,0
S0120,2023-01-26,Saudi Arabia,31,10,22,27,83,3,69,1,0,705,4,20.75,0.03571428571428571,0,1,0
S0121,2024-09-15,UAE,8,34,64,16,80,2,31,0,0,107,4,20.0,0.024691358024691357,0,1,1
S0122,2023-06-06,Saudi Arabia,30,24,76,14,194,5,61,1,1,574,4,48.5,0.02564102564102564,1,1,0
S0123,2024-03-20,Saudi Arabia,31,8,71,19,98,7,9,1,0,286,4,24.5,0.0707070707070707,1,0,0
S0124,2022-12-23,UAE,53,11,56,20,91,7,38,1,1,739,4,22.75,0.07608695652173914,1,1,1
S0125,2022-11-30,Saudi Arabia,30,12,23,3,51,11,30,0,0,762,4,12.75,0.21153846153846154,0,0,0
S0126,2023-10-18,Saudi Arabia,46,9,25,10,73,3,11,0,0,440,4,18.25,0.04054054054054054,0,0,0
S0127,2023-11-11,Saudi Arabia,20,2,6,2,113,2,79,0,0,416,4,28.25,0.017543859649122806,1,1,0
S0128,2023-06-26,Saudi Arabia,39,8,34,4,111,11,37,1,0,554,4,27.75,0.09821428571428571,1,1,0
S0129,2024-08-21,Saudi Arabia,53,11,63,6,120,4,66,1,0,132,4,30.0,0.03305785123966942,1,1,0
S0130,2024-06-15,Saudi Arabia,12,36,9,11,88,11,65,1,0,199,4,22.0,0.12359550561797752,0,1,0
S0131,2023-11-27,Saudi Arabia,49,10,60,14,88,6,51,1,1,400,4,22.0,0.06741573033707865,0,1,0
S0132,2024-08-03,UAE,37,29,30,18,161,4,114,0,1,150,4,40.25,0.024691358024691357,1,1,1
S0133,2022-12-28,Saudi Arabia,42,20,51,27,83,4,10,0,0,734,4,20.75,0.047619047619047616,0,0,0
S0134,2024-12-27,Saudi Arabia,30,8,60,21,61,10,24,0,0,4,4,15.25,0.16129032258064516,0,0,0
S0135,2023-09-18,UAE,40,18,65,5,121,6,99,0,1,470,4,30.25,0.04918032786885246,1,1,1
S0136,2022-06-01,Saudi Arabia,19,29,37,2,85,6,34,1,0,944,4,21.25,0.06976744186046512,0,1,0
S0137,2022-08-05,UAE,46,12,31,25,75,14,21,1,1,879,4,18.75,0.18421052631578946,0,0,1
S0138,2022-11-08,Saudi Arabia,11,14,41,17,46,3,36,1,0,784,4,11.5,0.06382978723404255,0,1,0
S0139,2022-05-02,UAE,34,21,62,9,84,11,85,1,0,974,4,21.0,0.12941176470588237,0,1,1
S0140,2022-06-18,Saudi Arabia,50,22,58,17,52,7,54,1,0,927,4,13.0,0.1320754716981132,0,1,0
S0141,2022-05-21,Saudi Arabia,31,11,27,11,141,9,37,1,1,955,4,35.25,0.06338028169014084,1,1,0
S0142,2022-12-10,Saudi Arabia,57,14,76,20,180,4,64,0,1,752,4,45.0,0.022099447513812154,1,1,0
S0143,2024-03-28,UAE,57,36,39,25,155,0,65,0,1,278,4,38.75,0.0,1,1,1
S0144,2023-01-13,Saudi Arabia,20,20,79,23,75,7,19,1,0,718,4,18.75,0.09210526315789473,0,0,0
S0145,2024-09-16,Saudi Arabia,50,24,8,19,88,5,3,1,0,106,4,22.0,0.056179775280898875,0,0,0
S0146,2024-10-07,Saudi Arabia,38,23,26,3,98,7,17,1,0,85,4,24.5,0.0707070707070707,1,0,0
S0147,2024-06-25,UAE,24,7,36,27,95,9,50,0,1,189,4,23.75,0.09375,1,1,1
S0148,2022-12-07,Saudi Arabia,10,9,48,1,57,9,67,0,1,755,4,14.25,0.15517241379310345,0,1,0
S0149,2024-07-07,UAE,32,1,28,4,48,14,19,0,0,177,4,12.0,0.2857142857142857,0,0,1
S0150,2023-02-22,Saudi Arabia,52,26,68,18,60,11,8,1,0,678,4,15.0,0.18032786885245902,0,0,0
S0151,2024-01-10,Saudi Arabia,15,38,62,26,97,3,79,0,0,356,4,24.25,0.030612244897959183,1,1,0
S0152,2022-09-12,Saudi Arabia,37,38,76,8,87,9,25,1,1,841,4,21.75,0.10227272727272728,0,0,0
S0153,2024-12-09,Saudi Arabia,20,22,51,19,54,7,24,1,0,22,4,13.5,0.12727272727272726,0,0,0
S0154,2023-06-10,Saudi Arabia,3,10,42,23,60,3,67,1,0,570,4,15.0,0.04918032786885246,0,1,0
S0155,2024-11-03,Saudi Arabia,37,6,29,23,65,2,40,0,0,58,4,16.25,0.030303030303030304,0,1,0
S0156,2023-07-13,UAE,40,17,10,25,38,7,58,0,0,537,4,9.5,0.1794871794871795,0,1,1
S0157,2023-02-10,Saudi Arabia,8,38,39,6,92,14,44,0,1,690,4,23.0,0.15053763440860216,1,1,0
S0158,2024-03-04,Saudi Arabia,31,12,52,29,178,1,63,0,1,302,4,44.5,0.00558659217877095,1,1,0
S0159,2022-06-06,Saudi Arabia,44,10,39,8,62,11,37,1,0,939,4,15.5,0.1746031746031746,0,1,0
S0160,2024-09-07,Saudi Arabia,23,8,21,1,71,6,18,1,0,115,4,17.75,0.08333333333333333,0,0,0
S0161,2023-11-23,Saudi Arabia,40,21,65,19,36,11,13,0,0,404,4,9.0,0.2972972972972973,0,0,0
S0162,2024-05-13,Saudi Arabia,43,11,45,18,192,3,21,0,1,232,4,48.0,0.015544041450777202,1,0,0
S0163,2024-01-16,Saudi Arabia,36,38,31,24,160,5,80,0,1,350,4,40.0,0.031055900621118012,1,1,0
S0164,2024-01-17,UAE,58,29,24,14,160,4,108,1,0,349,4,40.0,0.024844720496894408,1,1,1
S0165,2024-08-19,UAE,29,24,61,25,64,13,36,1,0,134,4,16.0,0.2,0,1,1
S0166,2024-02-04,Saudi Arabia,30,33,20,15,49,10,45,0,0,331,4,12.25,0.2,0,1,0
S0167,2023-01-30,Saudi Arabia,24,38,45,10,165,1,101,0,1,701,4,41.25,0.006024096385542169,1,1,0
S0168,2024-02-25,UAE,39,28,34,25,76,8,13,1,0,310,4,19.0,0.1038961038961039,0,0,1
S0169,2023-02-15,Saudi Arabia,28,32,48,11,67,9,8,0,0,685,4,16.75,0.1323529411764706,0,0,0
S0170,2023-02-11,Saudi Arabia,49,12,33,19,52,14,6,1,0,689,4,13.0,0.2641509433962264,0,0,0
S0171,2023-04-03,Saudi Arabia,36,27,61,21,54,7,13,1,1,638,4,13.5,0.12727272727272726,0,0,0
S0172,2023-07-30,UAE,13,10,10,10,37,3,5,1,0,520,4,9.25,0.07894736842105263,0,0,1
S0173,2022-07-26,UAE,32,32,54,24,84,8,84,1,0,889,4,21.0,0.09411764705882353,0,1,1
S0174,2024-12-21,Saudi Arabia,36,26,65,12,106,14,14,1,0,10,4,26.5,0.1308411214953271,1,0,0
S0175,2023-08-06,Saudi Arabia,37,25,77,1,90,10,51,1,1,513,4,22.5,0.10989010989010989,0,1,0
S0176,2023-04-05,Saudi Arabia,26,11,1,24,89,6,71,0,0,636,4,22.25,0.06666666666666667,0,1,0
S0177,2022-12-17,UAE,22,23,5,7,80,3,33,0,0,745,4,20.0,0.037037037037037035,0,1,1
S0178,2022-12-22,Saudi Arabia,4,34,15,17,67,5,0,1,0,740,4,16.75,0.07352941176470588,0,0,0
S0179,2024-06-17,Saudi Arabia,31,40,28,26,66,4,68,1,0,197,4,16.5,0.05970149253731343,0,1,0
S0180,2024-02-13,UAE,41,22,45,21,146,5,22,0,1,322,4,36.5,0.034013605442176874,1,0,1
S0181,2023-08-14,Saudi Arabia,38,29,17,6,80,11,19,1,0,505,4,20.0,0.13580246913580246,0,0,0
S0182,2024-02-06,UAE,51,31,84,17,155,7,43,0,1,329,4,38.75,0.04487179487179487,1,1,1
S0183,2023-04-19,Saudi Arabia,41,37,57,29,155,6,16,1,0,622,4,38.75,0.038461538461538464,1,0,0
S0184,2023-09-15,Saudi Arabia,22,40,11,5,64,9,6,1,0,473,4,16.0,0.13846153846153847,0,0,0
S0185,2024-07-30,Saudi Arabia,2,33,28,18,54,2,49,1,0,154,4,13.5,0.03636363636363636,0,1,0
S0186,2022-08-22,UAE,58,17,65,8,165,9,79,0,1,862,4,41.25,0.05421686746987952,1,1,1
S0187,2023-03-28,UAE,11,2,61,17,72,9,46,1,0,644,4,18.0,0.1232876712328767,0,1,1
S0188,2023-04-07,UAE,28,18,64,22,67,6,13,1,0,634,4,16.75,0.08823529411764706,0,0,1
S0189,2024-11-04,Saudi Arabia,24,35,37,18,156,0,99,0,0,57,4,39.0,0.0,1,1,0
S0190,2024-04-25,UAE,32,37,73,8,55,8,49,1,0,250,4,13.75,0.14285714285714285,0,1,1
S0191,2024-11-10,Saudi Arabia,5,34,10,24,89,12,60,1,0,51,4,22.25,0.13333333333333333,0,1,0
S0192,2024-07-14,Saudi Arabia,38,20,8,13,93,12,40,0,0,170,4,23.25,0.1276595744680851,1,1,0
S0193,2024-01-23,UAE,48,18,81,5,165,5,61,0,1,343,4,41.25,0.030120481927710843,1,1,1
S0194,2022-10-23,Saudi Arabia,40,18,77,16,93,3,4,0,0,800,4,23.25,0.031914893617021274,1,0,0
S0195,2022-11-06,Saudi Arabia,46,24,59,11,64,2,74,1,0,786,4,16.0,0.03076923076923077,0,1,0
S0196,2023-05-20,Saudi Arabia,24,8,50,6,76,6,4,1,0,591,4,19.0,0.07792207792207792,0,0,0
S0197,2023-03-05,Saudi Arabia,43,24,41,28,136,4,59,1,1,667,4,34.0,0.029197080291970802,1,1,0
S0198,2022-11-01,Saudi Arabia,44,10,70,3,88,11,28,0,0,791,4,22.0,0.12359550561797752,0,0,0
S0199,2023-12-11,Saudi Arabia,17,23,45,29,143,4,97,0,1,386,4,35.75,0.027777777777777776,1,1,0
S0200,2022-06-24,Saudi Arabia,23,11,17,18,85,9,4,0,0,921,4,21.25,0.10465116279069768,0,0,0
S0201,2022-05-06,UAE,34,35,31,26,162,8,79,0,0,970,4,40.5,0.049079754601226995,1,1,1
S0202,2023-09-24,UAE,1,26,20,13,92,13,78,1,0,464,4,23.0,0.13978494623655913,1,1,1
S0203,2024-03-02,Saudi Arabia,31,36,48,10,95,6,18,0,0,304,4,23.75,0.0625,1,0,0
S0204,2023-10-16,Saudi Arabia,31,33,73,5,25,4,63,1,0,442,4,6.25,0.15384615384615385,0,1,0
S0205,2024-07-21,Saudi Arabia,53,28,42,24,175,8,58,0,1,163,4,43.75,0.045454545454545456,1,1,0
S0206,2023-11-24,Saudi Arabia,42,40,37,14,60,14,33,0,0,403,4,15.0,0.22950819672131148,0,1,0
S0207,2022-09-19,Saudi Arabia,53,25,1,17,109,6,55,0,0,834,4,27.25,0.05454545454545454,1,1,0
S0208,2024-10-11,UAE,34,4,4,1,57,4,16,1,0,81,4,14.25,0.06896551724137931,0,0,1
S0209,2023-08-15,Saudi Arabia,9,19,54,25,86,4,75,1,1,504,4,21.5,0.04597701149425287,0,1,0
S0210,2024-07-09,Saudi Arabia,22,18,25,2,71,4,88,1,1,175,4,17.75,0.05555555555555555,0,1,0
S0211,2022-06-11,Saudi Arabia,13,37,3,7,81,7,55,1,0,934,4,20.25,0.08536585365853659,0,1,0
S0212,2022-08-26,Saudi Arabia,25,30,9,10,103,2,16,1,0,858,4,25.75,0.019230769230769232,1,0,0
S0213,2024-10-18,UAE,48,19,76,20,88,12,73,0,0,74,4,22.0,0.1348314606741573,0,1,1
S0214,2024-07-12,UAE,18,23,74,7,101,5,81,0,0,172,4,25.25,0.049019607843137254,1,1,1
S0215,2024-01-22,Saudi Arabia,51,16,34,24,93,14,17,1,0,344,4,23.25,0.14893617021276595,1,0,0
S0216,2023-03-04,UAE,12,1,43,16,107,9,44,1,0,668,4,26.75,0.08333333333333333,1,1,1
S0217,2024-01-31,Saudi Arabia,15,21,77,23,164,0,51,1,1,335,4,41.0,0.0,1,1,0
S0218,2022-12-12,UAE,17,24,22,12,70,6,55,1,0,750,4,17.5,0.08450704225352113,0,1,1
S0219,2024-09-30,UAE,15,34,70,17,80,3,79,0,1,92,4,20.0,0.037037037037037035,0,1,1
S0220,2024-03-15,Saudi Arabia,42,8,2,16,61,3,49,0,1,291,4,15.25,0.04838709677419355,0,1,0
S0221,2023-02-06,Saudi Arabia,34,34,78,13,136,8,80,1,1,694,4,34.0,0.058394160583941604,1,1,0
S0222,2024-04-10,Saudi Arabia,15,5,32,26,123,14,17,1,1,265,4,30.75,0.11290322580645161,1,0,0
S0223,2024-12-07,Saudi Arabia,39,26,16,16,62,8,79,1,0,24,4,15.5,0.12698412698412698,0,1,0
S0224,2022-05-26,UAE,13,30,76,19,60,11,80,1,0,950,4,15.0,0.18032786885245902,0,1,1
S0225,2024-09-19,Saudi Arabia,55,16,38,29,170,4,58,0,1,103,4,42.5,0.023391812865497075,1,1,0
S0226,2022-04-09,Saudi Arabia,32,19,72,15,86,6,75,0,0,997,4,21.5,0.06896551724137931,0,1,0
S0227,2023-10-03,UAE,9,29,48,12,122,4,9,1,0,455,4,30.5,0.032520325203252036,1,0,1
S0228,2023-03-23,UAE,40,3,50,21,73,7,68,0,0,649,4,18.25,0.0945945945945946,0,1,1
S0229,2024-09-27,Saudi Arabia,20,26,13,10,74,14,84,0,0,95,4,18.5,0.18666666666666668,0,1,0
S0230,2023-09-25,Saudi Arabia,26,40,15,26,112,11,2,1,0,463,4,28.0,0.09734513274336283,1,0,0
S0231,2023-03-17,Saudi Arabia,27,12,53,22,90,4,82,1,0,655,4,22.5,0.04395604395604396,0,1,0
S0232,2024-12-26,Saudi Arabia,21,2,44,2,65,9,43,1,0,5,4,16.25,0.13636363636363635,0,1,0
S0233,2023-08-01,UAE,18,11,8,7,92,3,69,1,0,518,4,23.0,0.03225806451612903,1,1,1
S0234,2023-11-03,Saudi Arabia,13,28,74,13,49,4,13,0,0,424,4,12.25,0.08,0,0,0
